Id,Label
1,50.7
2,36.8
3,55.6
4,142.5
5,246.1
6,319.2
7,365.7
8,340.8
9,175.1
10,65.3
11,48.6
12,51.4
13,46.3
14,67.6
15,47.9
16,47.9
17,40.8
18,46.5
19,32.5
20,26.3
21,24.7
22,37.6
23,47.8
24,48.5
25,44.0
26,47.3
27,41.1
28,40.9
29,43.1
30,55.5
31,51.2
32,47.7
33,41.4
34,40.9
35,40.9
36,41.3
37,48.8
38,55.4
39,41.6
40,31.9
41,26.5
42,32.0
43,43.9
44,49.1
45,60.5
46,65.1
47,73.3
48,88.2
49,129.7
50,108.7
51,94.0
52,61.5
53,63.4
54,62.1
55,52.1
56,56.2
57,49.8
58,41.6
59,48.6
60,74.4
61,232.8
62,397.3
63,388.8
64,96.9
65,111.5
66,60.2
67,54.6
68,54.1
69,53.4
70,60.6
71,80.0
72,82.7
73,104.8
74,161.0
75,204.1
76,196.9
77,295.0
78,150.7
79,98.3
80,219.6
81,152.8
82,142.4
83,198.0
84,88.6
85,73.5
86,84.2
87,100.9
88,256.1
89,188.2
90,99.0
91,61.5
92,45.3
93,43.0
94,40.9
95,35.7
96,43.5
97,45.2
98,38.0
99,49.1
100,46.2
101,49.5
102,60.7
103,59.8
104,124.7
105,194.4
106,309.3
107,323.4
108,225.8
109,103.5
110,98.3
111,100.5
112,132.7
113,41.5
114,37.1
115,47.7
116,51.7
117,57.5
118,53.1
119,58.1
120,59.3
121,59.2
122,51.9
123,50.7
124,49.9
125,50.5
126,52.4
127,56.7
128,62.0
129,43.7
130,33.8
131,34.7
132,35.7
133,40.3
134,54.5
135,50.6
136,49.0
137,43.0
138,46.4
139,41.6
140,40.6
141,41.3
142,42.7
143,48.4
144,49.0
145,42.5
146,30.6
147,24.0
148,29.4
149,26.2
150,39.2
151,48.0
152,54.4
153,49.4
154,42.4
155,42.3
156,46.3
157,41.6
158,42.1
159,46.7
160,49.1
161,48.4
162,39.5
163,31.4
164,24.8
165,25.5
166,26.3
167,47.5
168,48.2
169,48.2
170,42.0
171,41.5
172,47.5
173,42.9
174,48.2
175,49.0
176,47.2
177,39.1
178,39.9
179,44.1
180,29.0
181,27.6
182,45.3
183,37.0
184,46.1
185,67.3
186,140.1
187,113.6
188,77.1
189,59.3
190,57.8
191,57.3
192,50.8
193,52.1
194,37.3
195,223.6
196,306.7
197,309.6
198,318.6
199,358.0
200,347.2
201,253.4
202,103.0
203,79.5
204,108.9
205,105.3
206,81.6
207,79.0
208,96.2
209,57.4
210,66.3
211,56.5
212,74.7
213,67.2
214,85.1
215,86.2
216,49.3
217,43.0
218,46.8
219,42.6
220,41.5
221,45.4
222,33.2
223,31.5
224,23.2
225,23.8
226,46.1
227,41.5
228,48.5
229,43.6
230,52.9
231,41.4
232,42.7
233,46.6
234,40.5
235,37.7
236,32.6
237,32.4
238,36.5
239,49.3
240,74.3
241,76.1
242,75.7
243,72.2
244,79.4
245,79.1
246,95.9
247,89.4
248,98.2
249,92.8
250,101.5
251,92.3
252,100.3
253,101.0
254,108.6
255,110.1
256,104.0
257,109.4
258,168.6
259,146.5
260,122.9
261,165.3
262,273.7
263,334.9
264,248.4
265,202.4
266,291.5
267,377.3
268,305.2
269,144.1
270,137.5
271,148.4
272,225.4
273,383.7
274,310.0
275,288.6
276,289.4
277,263.4
278,218.1
279,156.4
280,55.6
281,38.7
282,32.3
283,32.6
284,40.5
285,47.9
286,47.8
287,41.9
288,41.3
289,49.4
290,48.2
291,44.2
292,52.3
293,42.2
294,42.6
295,46.4
296,39.4
297,33.0
298,31.8
299,33.3
300,39.8
301,40.7
302,47.1
303,42.3
304,41.4
305,42.2
306,48.2
307,48.7
308,48.0
309,42.7
310,46.1
311,39.3
312,37.7
313,27.3
314,30.6
315,33.2
316,39.4
317,46.9
318,42.5
319,43.4
320,48.5
321,43.0
322,47.9
323,49.9
324,41.8
325,47.1
326,41.9
327,40.3
328,40.5
329,44.2
330,43.1
331,108.6
332,309.7
333,308.9
334,104.6
335,115.9
336,291.7
337,173.4
338,126.2
339,133.7
340,176.4
341,262.5
342,183.4
343,158.9
344,116.6
345,141.1
346,179.0
347,212.0
348,363.7
349,402.1
350,369.9
351,512.5
352,580.7
353,569.0
354,551.2
355,463.6
356,282.9
357,251.0
358,216.1
359,162.8
360,136.1
361,229.5
362,379.4
363,319.7
364,258.7
365,217.2
366,197.8
367,133.8
368,85.4
369,65.9
370,64.7
371,73.1
372,94.0
373,152.3
374,226.6
375,173.8
376,73.3
377,57.8
378,65.2
379,73.3
380,53.0
381,43.8
382,47.7
383,48.5
384,45.3
385,41.4
386,77.1
387,190.4
388,394.7
389,422.8
390,633.2
391,702.0
392,524.3
393,435.3
394,233.4
395,163.5
396,146.3
397,118.7
398,119.9
399,161.9
400,148.3
401,246.1
402,564.7
403,426.7
404,338.3
405,312.3
406,138.3
407,110.6
408,101.2
409,113.7
410,115.6
411,156.6
412,123.7
413,106.2
414,117.6
415,133.6
416,144.2
417,131.9
418,115.6
419,99.5
420,81.6
421,61.4
422,55.9
423,62.7
424,46.1
425,47.8
426,48.9
427,47.4
428,41.4
429,34.6
430,32.7
431,39.2
432,40.1
433,52.9
434,57.4
435,51.8
436,56.5
437,50.9
438,50.3
439,50.2
440,50.2
441,50.6
442,52.4
443,57.1
444,51.3
445,50.3
446,50.0
447,49.6
448,44.7
449,46.9
450,40.7
451,34.1
452,39.9
453,35.9
454,52.2
455,50.1
456,48.9
457,43.1
458,49.3
459,56.0
460,51.7
461,50.1
462,49.6
463,48.9
464,42.7
465,47.4
466,49.1
467,50.6
468,55.9
469,50.4
470,43.2
471,48.3
472,48.8
473,46.8
474,39.1
475,62.0
476,52.6
477,54.7
478,52.0
479,78.2
480,66.0
481,75.2
482,105.2
483,189.3
484,317.6
485,358.0
486,376.0
487,379.4
488,345.2
489,293.2
490,131.6
491,93.2
492,80.7
493,71.3
494,82.7
495,72.9
496,99.7
497,107.3
498,288.6
499,319.9
500,197.1
501,96.9
502,85.3
503,63.4
504,67.0
505,69.3
506,203.4
507,96.9
508,148.9
509,319.6
510,294.5
511,334.4
512,184.1
513,202.3
514,178.1
515,95.8
516,92.8
517,96.0
518,79.1
519,66.6
520,70.1
521,61.5
522,70.6
523,61.4
524,60.5
525,59.9
526,82.9
527,53.1
528,56.9
529,52.8
530,53.5
531,72.9
532,61.8
533,61.1
534,64.6
535,93.8
536,127.8
537,108.3
538,129.7
539,103.4
540,116.1
541,101.7
542,154.4
543,242.2
544,326.5
545,457.8
546,392.0
547,310.9
548,147.2
549,132.6
550,163.3
551,281.3
552,294.9
553,205.9
554,179.7
555,215.0
556,390.2
557,251.6
558,148.4
559,154.6
560,144.7
561,144.5
562,170.7
563,327.2
564,414.6
565,242.9
566,352.3
567,310.5
568,132.8
569,80.9
570,78.0
571,70.8
572,69.3
573,72.2
574,61.7
575,62.8
576,53.8
577,46.4
578,46.9
579,36.1
580,27.9
581,40.9
582,47.9
583,50.2
584,51.5
585,57.1
586,51.5
587,56.1
588,49.9
589,43.8
590,48.7
591,48.5
592,48.2
593,46.3
594,40.1
595,33.7
596,34.9
597,39.8
598,47.6
599,49.6
600,49.7
601,50.5
602,55.6
603,49.8
604,48.6
605,43.4
606,47.9
607,48.0
608,47.5
609,47.6
610,34.2
611,36.8
612,37.4
613,48.3
614,50.6
615,43.7
616,55.3
617,56.8
618,53.1
619,59.3
620,101.1
621,218.7
622,325.1
623,348.4
624,368.4
625,350.9
626,244.8
627,109.2
628,99.8
629,60.7
630,59.6
631,70.8
632,66.9
633,72.6
634,65.0
635,53.6
636,62.7
637,69.0
638,74.3
639,84.2
640,67.4
641,67.3
642,60.7
643,57.3
644,55.7
645,56.6
646,47.0
647,52.6
648,63.5
649,61.2
650,63.7
651,77.5
652,78.9
653,84.6
654,91.1
655,90.1
656,96.4
657,86.6
658,97.8
659,85.2
