Id,Label
1,56.6
2,51.0
3,64.2
4,143.9
5,254.5
6,321.9
7,337.8
8,324.0
9,162.6
10,74.4
11,48.0
12,51.0
13,47.1
14,54.8
15,46.9
16,47.0
17,40.9
18,41.9
19,31.9
20,24.7
21,25.7
22,34.7
23,46.3
24,47.4
25,43.0
26,46.2
27,42.0
28,41.7
29,43.9
30,55.0
31,50.3
32,48.8
33,42.0
34,40.3
35,40.5
36,42.8
37,48.7
38,59.6
39,43.1
40,33.1
41,30.8
42,31.4
43,41.2
44,47.7
45,56.9
46,60.1
47,72.3
48,96.4
49,128.3
50,114.6
51,106.4
52,59.9
53,59.4
54,63.2
55,59.8
56,57.1
57,49.8
58,36.4
59,64.9
60,80.8
61,205.3
62,391.7
63,375.8
64,102.3
65,106.5
66,74.0
67,56.6
68,61.7
69,51.6
70,58.3
71,63.4
72,72.7
73,92.8
74,175.8
75,211.4
76,191.5
77,305.6
78,155.6
79,104.4
80,221.1
81,154.2
82,150.9
83,189.6
84,90.0
85,73.6
86,67.1
87,76.4
88,277.1
89,167.5
90,90.5
91,56.8
92,48.9
93,49.4
94,36.8
95,42.0
96,38.4
97,39.0
98,45.6
99,50.7
100,46.7
101,44.4
102,49.9
103,59.8
104,105.2
105,196.7
106,328.4
107,324.0
108,246.4
109,107.0
110,97.2
111,92.7
112,108.5
113,45.3
114,37.7
115,50.3
116,51.9
117,60.6
118,53.3
119,61.1
120,58.6
121,59.4
122,51.5
123,54.2
124,50.2
125,50.5
126,51.5
127,56.1
128,55.2
129,42.1
130,33.5
131,33.1
132,33.1
133,40.0
134,63.2
135,49.3
136,49.4
137,43.5
138,46.9
139,42.2
140,40.7
141,40.1
142,41.5
143,48.0
144,49.2
145,42.8
146,33.1
147,24.1
148,30.5
149,25.5
150,39.2
151,47.6
152,54.4
153,49.5
154,41.9
155,42.0
156,47.8
157,42.1
158,42.2
159,46.9
160,48.9
161,47.1
162,40.1
163,31.8
164,24.3
165,23.4
166,25.6
167,46.0
168,48.9
169,48.4
170,41.8
171,42.0
172,46.7
173,42.4
174,47.9
175,49.4
176,47.9
